date,AQI,PM2.5,PM10,NO2,SO2,CO,O3_8h_max,temperature,humidity,wind_speed
2019-02-09,42,29.8,41.1,47.4,6.6,0.82,26.4,18.0,78,2.1
2019-02-10,49,32.5,50.9,33.5,2.5,0.77,5.0,18.8,64,3.8
2019-02-11,46,29.7,44.2,29.7,4.6,0.93,13.9,15.7,56,3.5
2019-02-12,42,28.2,40.7,40.2,3.6,0.89,60.9,15.0,87,2.0
2019-02-13,46,27.3,47.1,35.1,5.6,0.87,58.4,16.2,65,3.7
2019-02-14,40,21.4,38.9,49.6,5.4,1.06,34.8,15.8,66,2.9
2019-02-15,42,25.2,48.6,38.6,7.0,0.79,58.7,14.7,81,4.4
2019-02-16,35,26.5,46.5,33.6,7.1,1.06,31.4,14.9,87,1.8
2019-02-17,56,34.1,66.9,31.5,10.2,0.88,30.1,15.3,60,2.3
2019-02-18,48,30.5,50.8,44.9,8.6,0.7,34.6,13.7,64,2.5
2019-02-19,25,20.0,23.5,35.0,8.3,0.86,31.9,17.4,65,3.0
2019-02-20,47,30.4,47.0,38.7,5.2,0.98,30.6,15.9,79,1.5
2019-02-21,36,26.9,30.9,44.1,5.1,0.84,51.0,15.4,85,2.2
2019-02-22,42,25.4,48.2,35.5,7.6,0.73,36.1,13.8,63,4.7
2019-02-23,44,31.9,47.4,38.1,2.6,0.86,44.5,13.7,83,3.7
2019-02-24,47,34.0,56.0,38.3,5.4,0.79,49.3,19.9,66,3.4
2019-02-25,48,33.5,66.4,42.5,7.4,0.93,39.6,14.7,75,2.2
2019-02-26,40,24.6,37.5,41.9,4.6,0.96,19.2,17.2,62,2.2
2019-02-27,39,27.3,46.3,37.1,4.5,0.77,13.5,16.3,71,2.9
2019-02-28,46,30.5,56.3,38.8,2.4,0.81,36.0,10.4,71,1.3
2019-03-01,42,28.9,52.7,29.8,8.5,0.88,39.0,22.6,75,2.3
2019-03-02,26,21.6,45.1,23.1,7.2,0.71,42.9,20.4,81,4.2
2019-03-03,37,23.1,36.3,33.5,6.4,0.69,41.4,17.5,70,5.4
2019-03-04,44,18.5,32.2,43.4,3.7,0.68,80.4,18.9,71,4.4
2019-03-05,35,18.0,28.2,26.7,8.7,0.84,21.6,16.7,82,3.7
2019-03-06,43,28.1,54.2,27.4,9.2,0.83,11.8,22.7,89,3.5
2019-03-07,46,30.8,44.2,26.8,6.7,0.73,46.6,17.2,78,3.5
2019-03-08,29,23.6,32.0,36.3,7.5,0.8,36.0,18.0,82,1.7
2019-03-09,49,29.0,55.4,34.7,9.6,0.95,46.3,17.5,84,1.1
2019-03-10,38,25.8,48.0,31.0,4.2,0.7,50.4,19.2,85,4.8
2019-03-11,42,20.8,32.6,26.5,8.2,0.6,60.9,21.7,70,3.8
2019-03-12,36,25.8,45.1,32.6,2.0,0.85,19.0,22.6,72,3.5
2019-03-13,52,31.7,56.1,22.6,9.5,0.79,33.2,18.2,72,3.7
2019-03-14,41,23.8,49.7,32.9,6.4,0.73,48.0,19.8,93,2.2
2019-03-15,50,31.8,63.7,37.2,6.8,0.87,53.2,19.2,82,2.7
2019-03-16,52,10.9,15.4,24.5,6.4,0.88,74.5,17.0,82,3.4
2019-03-17,41,28.1,46.8,22.8,8.1,0.58,55.9,23.8,81,1.8
2019-03-18,36,24.4,42.2,41.5,4.8,0.73,40.7,21.7,67,3.8
2019-03-19,29,22.5,41.9,28.3,8.2,1.03,28.2,19.4,94,2.8
2019-03-20,34,24.5,41.0,38.8,9.0,0.86,33.1,22.2,82,3.8
2019-03-21,17,14.1,20.9,31.1,6.1,0.87,32.7,21.4,84,4.2
2019-03-22,25,22.9,40.7,31.0,8.0,0.92,51.4,19.2,64,3.1
2019-03-23,46,25.8,40.8,34.6,6.3,0.8,45.5,19.7,84,2.8
2019-03-24,50,31.4,59.6,26.7,3.4,0.88,21.7,22.0,75,3.8
2019-03-25,32,21.4,34.3,32.8,6.1,0.87,35.1,17.1,67,3.0
2019-03-26,35,20.0,37.0,29.7,8.7,0.85,54.8,22.3,70,3.1
2019-03-27,39,21.5,46.5,24.1,11.9,0.77,46.9,18.5,68,1.9
2019-03-28,40,28.6,46.4,34.0,3.4,0.82,50.1,22.0,68,3.8
2019-03-29,35,25.6,49.2,30.4,6.7,0.74,47.3,19.0,78,2.8
2019-03-30,36,21.4,33.0,31.1,4.7,0.8,66.0,19.7,75,4.5
2019-03-31,41,26.6,47.7,24.7,2.0,0.68,45.1,18.9,81,2.2
2019-04-01,36,20.9,27.6,38.3,3.4,0.64,43.6,21.9,93,2.2
2019-04-02,42,25.2,45.4,34.1,11.0,0.69,35.7,22.5,79,2.2
2019-04-03,29,16.9,28.5,34.6,7.7,0.63,53.1,25.8,62,2.2
2019-04-04,32,18.8,35.7,27.0,8.7,0.67,12.8,18.4,78,2.4
2019-04-05,38,18.4,32.3,18.4,5.0,0.7,46.6,20.5,90,2.0
2019-04-06,24,13.1,18.7,40.5,7.3,0.76,46.3,21.5,79,3.7
2019-04-07,35,21.9,38.4,28.4,7.5,0.81,28.9,20.8,92,4.8
2019-04-08,43,21.7,30.2,24.3,5.1,0.67,35.5,26.0,84,2.5
2019-04-09,36,20.4,35.5,31.3,8.5,0.85,61.5,25.5,65,3.1
2019-04-10,38,19.2,35.5,35.8,4.2,0.81,52.9,24.2,81,3.8
2019-04-11,26,13.3,26.3,28.7,4.4,0.77,50.9,21.7,82,4.5
2019-04-12,30,18.3,27.3,36.5,8.4,0.74,54.0,25.7,89,2.7
2019-04-13,38,18.7,28.4,35.3,5.0,0.75,50.8,19.8,95,4.5
2019-04-14,44,16.4,28.8,22.3,9.1,0.84,68.0,27.3,87,2.6
2019-04-15,26,19.6,31.8,24.8,5.5,0.84,51.3,21.6,84,4.3
2019-04-16,24,22.4,38.5,34.5,12.6,0.85,27.5,22.5,85,2.1
2019-04-17,52,29.8,54.3,12.5,5.3,0.72,73.9,22.1,79,3.9
2019-04-18,38,21.3,31.8,27.9,12.3,0.78,55.0,20.9,68,3.0
2019-04-19,39,21.7,32.0,20.2,4.4,0.85,40.6,26.9,80,2.3
2019-04-20,40,20.0,39.9,25.9,2.9,0.66,30.6,24.6,83,4.0
2019-04-21,29,10.8,20.4,27.0,4.9,0.69,55.3,25.4,70,3.6
2019-04-22,34,20.3,35.2,26.7,10.0,0.72,47.6,20.6,91,4.8
2019-04-23,40,20.7,30.9,25.5,8.7,0.81,73.0,23.4,88,3.3
2019-04-24,50,32.7,46.0,22.2,2.0,0.81,44.2,24.0,69,4.7
2019-04-25,27,19.4,24.3,42.6,6.1,0.7,36.8,23.5,91,4.5
2019-04-26,38,21.9,34.1,40.0,3.3,0.57,62.8,20.7,78,3.4
2019-04-27,40,20.2,36.5,21.8,5.3,0.74,63.3,25.2,74,4.0
2019-04-28,32,14.6,22.3,38.3,5.9,0.63,51.9,23.2,89,1.8
2019-04-29,42,26.1,37.5,26.4,7.7,0.57,59.5,21.1,80,2.7
2019-04-30,45,24.2,35.8,29.6,5.5,0.59,48.8,19.3,95,3.6
2019-05-01,33,22.0,43.2,26.8,3.9,0.71,60.7,27.2,73,4.5
2019-05-02,48,13.5,24.8,23.2,7.9,0.82,74.7,30.9,66,2.6
2019-05-03,43,25.0,38.8,33.1,8.6,0.68,66.6,24.0,78,3.1
2019-05-04,36,11.0,22.5,28.0,4.8,0.7,54.7,26.3,86,2.0
2019-05-05,51,20.9,35.2,24.3,7.8,0.8,77.5,28.2,73,2.9
2019-05-06,44,29.0,51.1,19.4,5.3,0.53,21.7,23.5,69,1.1
2019-05-07,56,13.0,24.9,21.8,6.2,0.73,88.0,25.0,82,2.3
2019-05-08,35,15.2,27.5,17.4,7.2,0.68,31.6,24.3,68,1.7
2019-05-09,30,18.5,31.1,27.3,3.3,0.74,47.8,28.0,82,2.8
2019-05-10,31,15.5,26.9,20.0,5.8,0.63,56.6,28.7,77,4.4
2019-05-11,40,10.2,16.9,25.6,3.8,0.6,55.0,26.3,84,2.8
2019-05-12,42,18.3,31.3,35.4,8.0,0.69,72.3,24.3,69,1.2
2019-05-13,20,12.7,19.7,34.4,6.0,0.84,41.3,25.1,90,4.1
2019-05-14,38,20.4,38.1,27.0,8.2,0.77,61.1,24.7,79,2.0
2019-05-15,26,13.4,24.0,26.7,8.5,0.63,48.5,24.0,86,3.3
2019-05-16,37,25.7,47.1,38.5,10.6,0.55,61.6,25.8,88,2.6
2019-05-17,43,14.1,22.7,30.3,6.3,0.51,56.2,27.1,71,3.3
2019-05-18,35,16.4,25.9,25.2,7.3,0.81,58.6,27.0,87,2.1
2019-05-19,34,22.1,40.6,18.6,4.3,0.58,49.0,26.0,69,2.4
2019-05-20,33,11.8,20.6,29.6,7.3,0.65,49.5,26.1,69,1.8
2019-05-21,32,19.1,36.5,32.2,4.3,0.81,61.5,25.8,96,3.0
2019-05-22,47,24.5,32.7,23.4,5.0,0.52,71.4,23.4,89,2.6
2019-05-23,35,10.0,16.3,28.9,8.4,0.83,48.2,26.3,97,3.5
2019-05-24,34,18.9,28.3,25.0,7.6,0.65,44.2,24.8,77,4.3
2019-05-25,39,19.3,27.8,26.1,6.6,0.57,66.4,23.3,81,1.8
2019-05-26,34,21.9,31.3,12.3,4.3,0.66,56.7,26.7,84,3.8
2019-05-27,50,11.8,22.1,25.9,3.6,0.61,69.7,24.8,80,2.1
2019-05-28,27,11.4,19.2,33.0,5.9,0.72,43.6,26.5,74,3.8
2019-05-29,33,20.6,38.4,23.4,7.4,0.62,30.5,27.7,73,2.8
2019-05-30,25,19.5,38.3,27.5,5.4,0.49,49.2,24.1,82,3.5
2019-05-31,26,19.3,33.6,22.7,5.6,0.66,45.7,26.2,71,2.4
2019-06-01,34,18.5,33.4,27.8,6.1,0.54,61.2,24.4,73,2.7
2019-06-02,32,13.4,25.2,24.3,4.1,0.7,52.8,31.1,85,1.7
2019-06-03,46,18.0,31.1,20.0,4.1,0.56,73.5,25.3,81,1.4
2019-06-04,38,18.3,30.2,33.6,7.6,0.63,58.1,27.0,89,3.8
2019-06-05,44,13.2,25.0,31.2,6.3,0.7,64.7,30.7,79,3.6
2019-06-06,41,26.1,43.2,22.0,6.2,0.66,64.8,27.5,77,2.7
2019-06-07,37,19.2,33.7,28.6,2.0,0.71,65.3,25.6,85,0.7
2019-06-08,41,10.8,26.6,28.8,10.3,0.75,62.0,29.4,76,4.2
2019-06-09,46,20.1,28.9,29.5,10.1,0.56,70.1,29.4,77,2.9
2019-06-10,37,11.9,16.9,15.4,11.0,0.67,50.5,26.7,77,3.7
2019-06-11,45,20.7,30.9,31.6,6.0,0.35,83.4,27.0,80,3.4
2019-06-12,48,22.6,42.9,22.2,9.8,0.7,58.9,27.1,96,2.8
2019-06-13,24,12.7,12.6,23.5,6.2,0.65,42.7,27.6,71,3.6
2019-06-14,38,21.6,32.1,41.4,9.5,0.58,65.2,24.2,92,2.4
2019-06-15,30,18.9,32.0,27.4,8.4,0.71,49.6,27.6,88,3.5
2019-06-16,45,20.9,41.6,23.3,5.8,0.8,72.4,31.6,95,2.3
2019-06-17,56,26.3,42.2,12.4,8.1,0.63,95.5,26.2,100,1.1
2019-06-18,31,15.6,25.9,33.9,7.1,0.59,50.6,26.8,93,3.7
2019-06-19,40,13.0,18.0,17.5,10.9,0.7,67.4,25.6,89,2.8
2019-06-20,31,12.4,19.5,19.6,3.9,0.55,36.1,29.2,72,4.5
2019-06-21,44,12.7,21.4,23.6,3.7,0.61,69.2,30.4,73,2.0
2019-06-22,34,16.4,28.9,34.1,8.8,0.8,49.1,30.4,85,2.2
2019-06-23,36,18.5,30.1,30.2,5.3,0.69,53.0,25.5,68,1.4
2019-06-24,30,18.2,29.2,24.7,6.1,0.49,45.9,29.0,87,3.4
2019-06-25,42,20.9,31.0,27.4,7.0,0.5,73.4,30.9,65,3.7
2019-06-26,43,16.9,30.4,22.0,8.2,0.7,77.5,29.0,91,1.8
2019-06-27,43,24.1,43.8,26.4,4.4,0.77,62.8,29.0,79,3.0
2019-06-28,32,15.5,21.1,26.0,2.0,0.52,49.4,27.1,83,1.1
2019-06-29,51,30.4,47.7,31.4,9.9,0.72,86.2,28.4,76,3.5
2019-06-30,31,19.9,42.3,31.4,6.8,0.81,51.1,30.5,67,2.2
2019-07-01,24,11.3,12.8,27.0,8.0,0.83,35.2,29.7,90,2.0
2019-07-02,44,10.2,16.7,21.8,10.4,0.67,74.5,26.5,91,1.9
2019-07-03,31,18.0,36.8,28.5,5.0,0.69,51.0,28.1,77,2.9
2019-07-04,51,14.5,26.6,23.4,6.8,0.43,82.4,31.4,85,0.3
2019-07-05,32,19.2,38.7,17.5,6.4,0.85,61.9,29.6,77,3.0
2019-07-06,47,18.0,24.0,21.6,8.5,0.58,76.7,29.2,82,3.3
2019-07-07,56,15.2,29.2,24.5,2.8,0.55,88.6,27.9,86,3.7
2019-07-08,23,11.4,17.9,29.5,7.3,0.61,49.5,31.4,84,3.0
2019-07-09,42,8.0,17.2,22.9,3.5,0.79,59.1,32.3,91,3.9
2019-07-10,42,13.4,18.6,16.7,10.2,0.86,66.5,31.5,84,4.2
2019-07-11,55,19.9,33.4,24.3,7.8,0.65,90.7,31.9,80,1.2
2019-07-12,45,16.7,24.8,24.7,6.6,0.74,57.7,28.3,74,4.1
2019-07-13,37,9.4,12.0,25.1,3.8,0.64,58.7,28.0,76,3.9
2019-07-14,46,16.5,25.1,29.5,8.3,0.54,74.8,28.7,86,4.1
2019-07-15,35,17.5,25.2,30.1,6.8,0.79,58.9,29.1,68,3.1
2019-07-16,34,11.2,17.5,20.4,7.6,0.58,69.9,31.9,89,3.4
2019-07-17,28,16.4,29.8,20.3,4.7,0.79,44.3,31.3,78,2.1
2019-07-18,66,15.9,30.3,17.8,5.8,0.77,100.8,30.1,73,5.0
2019-07-19,28,9.9,11.0,28.2,6.0,0.7,47.4,26.1,71,2.7
2019-07-20,36,17.4,31.7,32.7,5.1,0.82,62.8,25.6,85,2.6
2019-07-21,46,18.4,26.4,22.1,6.2,0.86,67.1,29.5,80,2.1
2019-07-22,60,21.0,42.0,22.6,8.0,0.62,96.3,30.8,93,4.1
2019-07-23,32,20.9,37.4,32.8,5.8,0.56,47.7,28.8,70,2.4
2019-07-24,59,8.7,14.3,27.0,6.1,0.45,97.4,32.8,75,2.1
2019-07-25,51,10.9,13.8,26.6,7.8,0.86,79.0,26.8,79,4.2
2019-07-26,46,18.2,31.6,16.9,7.1,0.6,73.9,26.6,74,2.1
2019-07-27,31,18.2,31.4,28.1,8.9,0.75,52.8,27.7,80,2.6
2019-07-28,48,18.2,19.7,18.4,5.7,0.57,76.2,27.6,83,3.6
2019-07-29,53,34.9,50.0,17.2,6.3,0.79,56.7,30.1,84,1.1
2019-07-30,44,18.5,34.6,21.9,6.2,0.57,86.6,28.2,92,1.9
2019-07-31,32,21.3,34.7,20.5,6.4,0.52,53.0,25.9,70,4.9
2019-08-01,35,21.6,35.1,24.3,3.0,0.66,63.3,30.8,83,3.4
2019-08-02,37,20.1,30.8,17.0,3.9,0.63,56.7,25.5,75,2.0
2019-08-03,31,15.2,31.6,31.4,2.2,0.74,50.2,26.9,83,3.5
2019-08-04,46,20.6,39.4,32.4,9.3,0.67,76.1,25.8,83,4.6
2019-08-05,39,12.9,18.3,13.9,4.4,0.74,73.0,29.4,72,2.7
2019-08-06,47,15.6,28.7,31.5,6.4,0.65,83.1,29.4,73,1.8
2019-08-07,25,14.4,25.1,20.7,3.0,0.61,38.3,32.8,84,1.2
2019-08-08,43,17.2,32.3,30.7,6.9,0.62,81.0,30.8,80,2.7
2019-08-09,59,28.4,47.2,25.2,8.2,0.88,102.6,31.9,78,0.9
2019-08-10,45,7.5,12.0,25.8,6.1,0.7,58.2,29.6,85,1.6
2019-08-11,55,20.2,38.4,24.5,8.2,0.48,93.4,27.0,86,3.0
2019-08-12,32,8.7,17.8,32.9,9.0,0.63,61.1,29.3,76,2.3
2019-08-13,29,14.4,29.1,18.2,8.1,0.69,44.4,30.2,73,3.9
2019-08-14,31,22.2,30.4,29.2,8.0,0.86,60.4,30.4,70,4.8
2019-08-15,53,17.1,26.9,32.2,7.5,0.78,80.7,28.1,80,1.8
2019-08-16,33,11.4,26.8,29.9,3.8,0.59,52.4,30.0,69,3.3
2019-08-17,26,13.2,19.7,39.5,7.8,0.92,56.0,27.1,81,3.0
2019-08-18,45,20.2,30.5,22.4,6.9,0.68,73.9,26.9,90,3.3
2019-08-19,37,13.1,20.7,31.3,6.3,0.8,65.0,26.8,77,2.3
2019-08-20,48,17.9,28.2,25.0,5.8,0.56,73.8,29.0,76,3.0
2019-08-21,45,17.0,35.0,33.0,9.6,0.44,68.6,26.6,96,3.4
2019-08-22,46,13.5,21.9,25.6,8.3,0.54,72.2,28.2,92,2.4
2019-08-23,47,27.5,41.5,23.3,10.6,0.35,58.5,30.8,74,3.3
2019-08-24,48,20.0,34.4,33.4,4.4,0.89,68.5,26.9,81,3.2
2019-08-25,34,6.7,13.4,22.7,4.6,0.7,51.1,28.0,83,3.1
2019-08-26,41,17.7,30.0,17.1,3.1,0.59,84.3,29.1,82,3.2
2019-08-27,26,13.5,29.3,22.5,8.5,0.73,55.5,29.5,95,0.7
2019-08-28,52,21.1,40.3,29.3,3.5,0.7,81.9,28.0,81,3.1
2019-08-29,34,12.8,20.7,34.0,8.5,0.74,61.5,30.6,82,4.4
2019-08-30,28,16.2,29.4,26.3,4.4,0.8,68.0,30.2,86,2.6
2019-08-31,36,19.3,32.0,33.5,7.2,0.65,57.6,31.3,90,2.3
2019-09-01,37,24.7,39.1,20.7,2.8,0.63,44.6,26.8,82,3.9
2019-09-02,24,14.4,28.9,26.1,2.9,0.8,33.6,26.0,79,2.5
2019-09-03,37,18.7,35.3,27.1,3.6,0.8,44.0,25.6,63,1.8
2019-09-04,33,18.0,34.0,28.1,8.0,0.73,54.9,27.6,71,2.5
2019-09-05,37,17.1,30.8,29.3,8.3,0.94,63.0,26.2,82,1.9
2019-09-06,49,29.2,51.7,32.9,5.4,0.68,75.0,25.9,77,1.3
2019-09-07,31,22.4,37.3,26.1,7.1,0.63,53.1,26.1,82,3.4
2019-09-08,26,14.1,20.1,29.6,5.0,0.76,46.6,25.6,90,2.6
2019-09-09,38,25.0,35.6,28.5,2.9,0.65,38.2,27.4,66,3.4
2019-09-10,43,31.0,49.9,23.2,10.1,0.77,67.0,24.2,84,3.6
2019-09-11,51,25.6,43.2,28.1,2.0,0.64,80.5,27.6,72,2.5
2019-09-12,44,12.8,20.0,27.9,5.1,0.68,78.8,28.4,82,1.4
2019-09-13,45,18.0,27.9,27.8,4.5,0.91,70.4,25.8,75,3.3
2019-09-14,44,26.7,53.9,29.0,5.5,0.68,69.4,30.8,92,3.6
2019-09-15,51,16.9,28.2,29.3,7.6,0.64,85.3,27.0,76,4.5
2019-09-16,33,22.6,41.3,26.2,4.0,0.84,64.8,23.9,70,3.1
2019-09-17,51,24.3,43.1,36.4,6.8,0.61,69.5,26.4,78,2.0
2019-09-18,31,15.8,22.7,21.8,9.2,0.65,55.0,27.1,78,2.2
2019-09-19,30,20.1,34.7,24.5,6.2,0.78,39.4,27.9,84,3.4
2019-09-20,29,4.2,5.0,45.5,9.3,0.81,49.5,26.5,79,2.2
2019-09-21,44,15.3,29.4,22.6,5.2,0.84,59.7,25.0,95,3.8
2019-09-22,48,19.1,38.2,20.7,6.9,0.65,60.7,24.8,74,2.8
2019-09-23,62,14.2,23.8,33.2,5.7,0.78,88.7,25.7,74,2.0
2019-09-24,39,28.6,38.7,16.3,8.5,0.67,61.0,25.9,70,4.7
2019-09-25,44,13.2,26.2,27.4,7.0,0.66,77.5,24.7,76,3.7
2019-09-26,37,18.2,24.8,41.7,9.6,0.84,53.3,25.5,77,1.7
2019-09-27,41,21.1,38.1,19.5,3.8,0.67,55.1,28.3,77,3.7
2019-09-28,34,27.6,35.6,16.9,5.6,0.75,39.9,30.3,76,3.1
2019-09-29,29,13.2,29.1,19.8,4.9,0.74,48.7,28.5,70,4.0
2019-09-30,38,26.2,52.7,34.2,6.7,0.61,67.7,29.6,68,1.9
2019-10-01,39,26.5,52.1,41.9,9.3,0.9,57.3,26.9,65,3.2
2019-10-02,53,21.5,39.3,32.1,5.6,0.86,71.3,26.7,77,2.8
2019-10-03,44,28.7,52.0,39.3,8.6,0.6,59.9,24.3,79,3.7
2019-10-04,38,27.4,42.9,43.5,6.5,0.83,51.9,25.3,67,3.3
2019-10-05,48,23.4,41.7,45.9,7.2,0.72,89.4,24.2,60,3.8
2019-10-06,51,26.7,50.8,33.7,7.2,0.91,55.8,24.6,67,3.5
2019-10-07,49,24.5,34.7,21.4,7.8,0.66,74.6,25.1,85,3.5
2019-10-08,35,27.0,41.8,30.3,9.5,0.76,51.2,26.4,76,1.6
2019-10-09,49,29.7,49.9,32.6,4.0,0.84,67.8,25.8,72,4.6
2019-10-10,50,34.3,50.9,33.6,6.8,0.81,71.1,24.7,76,4.0
2019-10-11,36,20.2,30.5,34.1,9.2,0.88,60.3,25.1,80,1.9
2019-10-12,46,37.1,73.0,41.9,8.5,0.65,21.9,25.9,59,1.7
2019-10-13,37,16.6,25.5,42.8,6.5,0.97,57.5,26.3,65,2.5
2019-10-14,47,25.6,51.9,34.2,5.1,0.85,75.7,22.0,64,1.4
2019-10-15,44,29.3,58.1,41.8,3.2,0.94,65.1,22.8,73,3.4
2019-10-16,43,27.8,58.2,37.3,2.0,0.89,63.9,27.2,69,1.8
2019-10-17,37,23.3,51.7,35.6,10.2,0.8,31.4,24.9,74,3.1
2019-10-18,40,25.4,52.4,40.6,4.4,0.67,46.4,24.2,64,3.4
2019-10-19,38,23.9,37.6,35.6,5.2,0.74,63.4,24.5,79,2.5
2019-10-20,46,23.5,38.2,47.5,6.8,0.96,63.4,24.5,67,1.8
2019-10-21,50,30.6,60.4,26.6,10.6,0.94,75.4,26.1,74,2.0
2019-10-22,44,28.2,40.9,32.1,4.0,0.74,55.0,22.8,78,3.3
2019-10-23,38,22.9,46.2,34.4,4.7,0.52,63.3,25.0,77,2.9
2019-10-24,40,30.9,64.8,37.8,6.9,0.78,57.4,25.5,71,2.5
2019-10-25,50,27.9,52.7,42.8,4.8,0.77,42.4,25.8,75,3.1
2019-10-26,41,30.5,53.4,35.1,8.3,0.78,23.4,25.4,82,3.7
2019-10-27,40,29.5,51.3,26.7,6.3,0.85,63.7,26.0,72,2.9
2019-10-28,39,22.3,42.0,40.3,5.3,0.89,59.8,23.9,62,0.9
2019-10-29,48,23.6,34.9,39.7,5.6,0.9,47.9,23.1,73,3.9
2019-10-30,46,30.1,54.5,23.5,6.5,0.84,32.9,29.9,68,1.2
2019-10-31,43,29.5,56.0,35.2,6.9,0.62,66.6,24.4,49,1.8
2019-11-01,53,31.1,49.9,30.5,8.1,0.85,37.6,20.6,69,4.1
2019-11-02,46,31.8,52.9,36.0,5.3,1.11,50.0,22.4,66,3.2
2019-11-03,63,37.6,55.5,34.6,6.7,0.92,69.6,24.2,74,2.6
2019-11-04,35,28.2,56.2,44.9,7.9,0.92,9.5,19.9,59,2.2
2019-11-05,50,33.9,66.1,40.7,4.3,0.92,31.1,19.0,53,1.8
2019-11-06,50,30.2,59.0,32.3,4.0,0.92,38.5,18.5,66,3.7
2019-11-07,40,30.1,54.3,45.3,2.5,0.64,63.4,24.2,68,3.2
2019-11-08,61,36.7,69.4,31.4,6.4,0.86,17.1,18.9,66,3.0
2019-11-09,45,35.3,47.7,42.0,9.5,0.88,70.6,20.9,65,4.4
2019-11-10,50,35.3,70.5,35.1,6.3,1.01,43.6,19.0,56,0.3
2019-11-11,58,37.7,60.8,37.8,5.7,0.88,40.2,18.1,64,2.0
2019-11-12,45,31.3,48.1,43.0,4.6,0.72,38.6,20.4,62,3.6
2019-11-13,54,34.6,46.7,43.1,9.5,0.92,35.1,19.1,74,1.7
2019-11-14,40,29.6,51.8,48.0,8.5,0.8,57.3,19.6,68,3.9
2019-11-15,44,32.8,64.3,39.5,6.0,0.76,25.6,25.0,63,2.5
2019-11-16,37,30.5,49.0,41.8,12.8,0.8,46.8,21.8,79,2.1
2019-11-17,51,31.7,60.3,37.4,7.8,0.93,35.8,22.9,63,1.5
2019-11-18,48,34.2,63.6,41.1,8.4,1.01,30.2,22.6,69,1.6
2019-11-19,48,27.1,43.5,42.6,5.8,0.93,80.4,20.8,64,3.9
